Sample,Class,Li,Be,B,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Nb,Mo,Ag,Cd,Cs,Ba,Ta,W,Tl,Pb
S_11,Class_1,31.94 ,0.14 ,645.44 ,2098922.18 ,1258080.67 ,1590.83 ,13767.40 ,8093077.10 ,6069461.86 ,69598.68 ,164.31 ,25.34 ,23.14 ,246.58 ,9286.87 ,5.60 ,194.90 ,1845.75 ,13377.73 ,0.74 ,1.37 ,1004.00 ,1708.12 ,3234.93 ,1771.61 ,9.28 ,12.45 ,0.23 ,5.32 ,78.35 ,9.36 ,13.99 ,0.79 ,2.33 ,0.71 
S_12,Class_1,28.50 ,0.13 ,647.51 ,2028752.20 ,1043513.06 ,1728.57 ,13457.70 ,6239644.85 ,4637270.46 ,52832.54 ,136.12 ,8.74 ,51.04 ,193.60 ,11715.57 ,6.63 ,310.86 ,1979.66 ,15646.70 ,0.35 ,0.00 ,1051.80 ,1236.93 ,2511.81 ,1514.64 ,6.78 ,10.85 ,0.48 ,6.37 ,56.72 ,12.83 ,10.52 ,1.00 ,1.63 ,3.16 
S_13,Class_1,23.73 ,0.05 ,369.63 ,1815432.74 ,1210069.27 ,1043.21 ,13510.60 ,7761560.88 ,5891540.39 ,50031.39 ,118.71 ,15.24 ,29.39 ,244.84 ,11721.49 ,6.42 ,607.15 ,2922.46 ,16539.07 ,0.38 ,0.46 ,942.65 ,1631.34 ,3292.70 ,1034.48 ,7.63 ,34.08 ,0.62 ,8.25 ,75.12 ,10.81 ,13.52 ,1.19 ,2.94 ,1.34 
S_14,Class_1,31.55 ,0.05 ,873.14 ,2117952.50 ,926995.00 ,1015.21 ,13474.41 ,5587781.18 ,4417061.70 ,38654.37 ,171.82 ,6.55 ,14.54 ,164.01 ,8686.93 ,4.69 ,157.59 ,1518.74 ,12333.85 ,0.38 ,0.46 ,1088.85 ,1165.54 ,2481.47 ,1147.51 ,8.67 ,9.93 ,2.36 ,6.75 ,65.57 ,15.46 ,11.58 ,0.75 ,1.84 ,3.61 
S_15,Class_1,24.72 ,0.05 ,547.92 ,1902312.06 ,1074206.25 ,1210.51 ,13934.13 ,6886358.05 ,5222650.14 ,47801.36 ,166.41 ,14.07 ,75.17 ,196.77 ,8226.37 ,4.85 ,127.61 ,1429.51 ,11971.00 ,0.39 ,0.48 ,1702.16 ,1496.16 ,2946.61 ,960.23 ,7.02 ,7.99 ,0.69 ,7.27 ,66.35 ,16.01 ,13.66 ,0.74 ,2.13 ,3.01 
S_16,Class_1,51.30 ,0.00 ,827.10 ,3952692.60 ,1531549.50 ,1366.20 ,58861.50 ,12131085.60 ,15733347.30 ,88816.20 ,779.40 ,12.00 ,49.20 ,250.80 ,11183.40 ,6.00 ,41.40 ,1414.80 ,17020.80 ,0.30 ,0.00 ,1606.80 ,2367.30 ,3655.50 ,1788.60 ,8.40 ,9.30 ,1.20 ,6.90 ,82.50 ,17.70 ,5.70 ,0.60 ,2.10 ,0.30 
S_17,Class_1,51.90 ,0.00 ,1155.00 ,3444231.30 ,1397443.20 ,1250.10 ,39440.10 ,10996964.70 ,13099108.20 ,88234.80 ,661.80 ,6.60 ,50.70 ,225.60 ,11530.80 ,5.40 ,28.50 ,1161.90 ,13545.60 ,0.30 ,0.30 ,2428.80 ,1812.00 ,3011.40 ,1798.80 ,31.20 ,12.00 ,1.50 ,6.00 ,74.40 ,33.60 ,19.20 ,3.60 ,2.10 ,4.20 
S_18,Class_1,38.70 ,0.00 ,904.80 ,2485351.50 ,1225344.60 ,10614.00 ,40907.70 ,10464112.50 ,12953340.90 ,97939.50 ,642.90 ,9.00 ,31.20 ,246.60 ,12587.70 ,8.40 ,43.80 ,1578.90 ,15796.20 ,1.50 ,1.20 ,2000.10 ,1651.80 ,3039.00 ,1738.20 ,52.80 ,19.50 ,12.60 ,3.90 ,71.70 ,22.50 ,30.00 ,8.10 ,2.10 ,2.70 
S_19,Class_1,42.30 ,0.00 ,888.60 ,2627406.30 ,1182282.00 ,791.10 ,76222.50 ,9459909.60 ,12093339.00 ,78249.00 ,666.90 ,31.20 ,11.10 ,213.00 ,10932.90 ,4.50 ,20.40 ,1438.80 ,16045.20 ,0.30 ,0.00 ,1609.20 ,1652.70 ,2752.50 ,1730.10 ,2.70 ,7.50 ,1.50 ,6.90 ,69.30 ,22.50 ,2.40 ,0.60 ,2.10 ,0.90 
S_20,Class_1,54.30 ,0.00 ,1013.70 ,3612806.10 ,1549340.70 ,5127.60 ,75219.00 ,11834578.50 ,14866687.50 ,235453.20 ,887.10 ,19.80 ,68.10 ,479.40 ,19968.60 ,6.60 ,57.90 ,1721.10 ,21781.80 ,2.40 ,0.30 ,2761.20 ,2257.20 ,3533.40 ,4947.60 ,3.00 ,11.40 ,396.90 ,51.90 ,84.60 ,90.60 ,2.10 ,0.30 ,1.80 ,59.40 
S_21,Class_1,52.50 ,0.00 ,998.40 ,2798760.30 ,1306978.80 ,1209.30 ,58561.80 ,10788449.70 ,13763937.30 ,123765.30 ,714.30 ,19.20 ,15.60 ,176.40 ,15309.60 ,4.50 ,48.00 ,1303.80 ,15107.10 ,0.30 ,0.30 ,1766.70 ,2269.50 ,3147.60 ,1807.80 ,9.30 ,6.60 ,2.10 ,20.70 ,68.40 ,31.50 ,6.60 ,0.90 ,1.20 ,31.80 
S_22,Class_1,44.10 ,0.00 ,811.50 ,2851540.50 ,1137170.40 ,1144.50 ,55980.90 ,8770453.80 ,11080000.80 ,88234.50 ,610.50 ,6.30 ,22.50 ,171.60 ,12015.30 ,5.70 ,36.90 ,990.00 ,13795.50 ,0.00 ,0.00 ,2090.70 ,1525.50 ,2520.60 ,1815.30 ,13.80 ,9.00 ,2.10 ,10.50 ,65.40 ,19.50 ,9.00 ,0.90 ,1.50 ,4.20 
S_23,Class_1,28.20 ,0.00 ,437.10 ,2246614.80 ,1027735.20 ,1009.20 ,63892.80 ,8789944.80 ,12427510.20 ,52118.70 ,643.20 ,5.40 ,29.10 ,169.50 ,11581.50 ,4.80 ,38.70 ,1246.50 ,12303.30 ,0.00 ,0.00 ,1504.80 ,1791.60 ,2844.90 ,723.90 ,3.90 ,7.20 ,6.60 ,7.80 ,57.90 ,12.30 ,3.30 ,0.00 ,1.20 ,0.60 
S_24,Class_1,27.00 ,0.00 ,329.40 ,2122575.60 ,1222904.40 ,1175.40 ,50592.00 ,10098261.30 ,13265777.10 ,85107.30 ,672.90 ,18.00 ,31.50 ,198.90 ,11328.90 ,6.60 ,35.10 ,1264.20 ,15141.60 ,0.60 ,0.30 ,1197.30 ,1996.50 ,3020.70 ,1109.10 ,16.80 ,7.20 ,2.40 ,9.30 ,68.10 ,48.60 ,10.50 ,2.40 ,1.80 ,72.00 
S_25,Class_1,36.30 ,0.00 ,929.10 ,2542713.90 ,1112663.10 ,1806.60 ,74141.70 ,8257329.60 ,10517073.30 ,160456.80 ,589.20 ,9.00 ,46.80 ,187.20 ,10233.60 ,6.00 ,56.70 ,979.20 ,16614.00 ,0.00 ,0.00 ,2658.90 ,1589.10 ,2445.90 ,2595.30 ,2.70 ,13.50 ,0.90 ,6.00 ,61.80 ,30.30 ,2.10 ,0.60 ,1.50 ,0.90 
S_26,Class_1,30.90 ,0.00 ,485.40 ,2361570.60 ,1351059.90 ,920.40 ,75545.10 ,11082385.80 ,15692990.40 ,111312.30 ,741.30 ,10.80 ,51.30 ,176.70 ,11170.80 ,5.40 ,25.50 ,1454.10 ,15255.30 ,0.30 ,0.00 ,2014.80 ,2064.60 ,3616.20 ,1671.30 ,3.00 ,10.20 ,0.90 ,7.20 ,88.50 ,21.30 ,3.00 ,0.60 ,1.80 ,1.50 
S_27,Class_1,31.50 ,0.30 ,585.30 ,2196247.20 ,1247767.80 ,1013.70 ,60578.70 ,10090572.60 ,13429236.90 ,58146.90 ,671.10 ,6.60 ,7.20 ,159.90 ,8456.70 ,3.60 ,21.00 ,1115.70 ,12265.80 ,0.30 ,0.00 ,1468.50 ,1735.50 ,3100.20 ,968.10 ,6.30 ,6.30 ,0.60 ,4.20 ,73.80 ,15.90 ,4.50 ,0.30 ,1.50 ,15.90 
S_28,Class_1,36.60 ,0.30 ,502.50 ,2876047.50 ,1350311.70 ,1268.40 ,66701.10 ,11539781.70 ,16758281.10 ,77490.90 ,766.50 ,6.30 ,37.50 ,222.90 ,11124.60 ,5.10 ,28.20 ,1227.90 ,15113.10 ,0.00 ,0.00 ,1598.10 ,2316.30 ,3864.00 ,1216.20 ,3.90 ,7.80 ,2.40 ,5.10 ,94.50 ,54.00 ,3.30 ,0.30 ,2.10 ,0.00 
S_29,Class_1,24.90 ,0.00 ,463.20 ,2115120.30 ,1210523.40 ,1702.20 ,74010.00 ,9626120.40 ,13600659.00 ,81332.40 ,650.40 ,5.70 ,37.50 ,147.00 ,8486.70 ,5.40 ,23.70 ,1113.30 ,12480.00 ,0.30 ,0.00 ,2247.00 ,1614.90 ,3392.40 ,1452.00 ,3.00 ,6.90 ,1.50 ,4.20 ,77.70 ,16.50 ,2.40 ,0.60 ,1.80 ,0.90 
S_30,Class_1,39.60 ,0.00 ,576.60 ,2565607.50 ,1165369.20 ,557.10 ,63441.60 ,9309104.10 ,12375358.50 ,83471.40 ,600.60 ,5.70 ,9.30 ,218.10 ,9975.90 ,5.70 ,21.90 ,1215.30 ,16421.10 ,0.30 ,0.00 ,1698.00 ,1927.20 ,2837.40 ,1573.50 ,4.20 ,6.00 ,0.30 ,9.00 ,66.30 ,13.50 ,2.70 ,0.00 ,1.20 ,0.30 
S_31,Class_1,49.20 ,0.00 ,1006.20 ,2872359.00 ,1311463.20 ,835.50 ,31564.20 ,10138056.90 ,12626807.40 ,90507.30 ,646.20 ,12.30 ,39.60 ,199.50 ,7118.70 ,3.60 ,23.10 ,1228.20 ,13732.80 ,0.30 ,0.30 ,1534.50 ,1728.60 ,2898.00 ,1679.40 ,31.80 ,10.80 ,4.50 ,4.50 ,66.30 ,21.60 ,17.40 ,5.10 ,1.80 ,1.20 
S_32,Class_1,41.10 ,0.30 ,831.90 ,2933749.20 ,1360235.10 ,912.60 ,57388.50 ,11194482.00 ,13653555.00 ,95617.80 ,726.00 ,5.10 ,18.30 ,287.10 ,22206.00 ,6.60 ,56.70 ,1837.50 ,18234.30 ,0.30 ,0.30 ,2382.60 ,2112.60 ,3165.90 ,1789.20 ,5.70 ,12.90 ,1.20 ,7.50 ,74.40 ,26.10 ,4.20 ,0.30 ,1.80 ,19.50 
S_33,Class_1,27.90 ,0.30 ,375.30 ,2257525.20 ,1108884.00 ,3608.70 ,62989.20 ,9226561.50 ,11847068.40 ,143207.70 ,652.80 ,15.90 ,17.70 ,271.20 ,10594.50 ,7.20 ,47.10 ,1357.80 ,17576.10 ,0.30 ,0.30 ,2354.70 ,1752.60 ,2733.60 ,2223.30 ,5.10 ,12.30 ,38.40 ,5.70 ,62.40 ,24.60 ,3.90 ,0.00 ,1.50 ,1.50 
S_34,Class_1,31.20 ,0.00 ,493.50 ,2340692.70 ,1328554.20 ,1067.10 ,57293.70 ,11315381.70 ,14950133.40 ,103713.60 ,759.00 ,12.90 ,204.30 ,271.50 ,13975.50 ,6.00 ,54.00 ,1794.90 ,16659.30 ,0.30 ,0.00 ,3895.80 ,2001.60 ,3409.80 ,1593.90 ,9.30 ,8.40 ,1.50 ,9.30 ,75.60 ,19.80 ,6.00 ,0.90 ,1.50 ,29.10 
S_35,Class_1,38.40 ,0.30 ,1026.60 ,3068021.40 ,1279914.00 ,1309.80 ,77718.30 ,9522243.90 ,12855697.80 ,90430.80 ,675.90 ,3.60 ,24.30 ,191.40 ,12732.30 ,6.00 ,23.70 ,1353.30 ,18518.40 ,0.00 ,0.00 ,1704.60 ,1650.00 ,3005.40 ,2172.90 ,4.20 ,9.60 ,1.20 ,4.50 ,76.20 ,54.60 ,3.90 ,0.60 ,2.10 ,1.80 
S_36,Class_1,57.00 ,0.00 ,1290.60 ,3424145.70 ,1470163.20 ,2435.70 ,36486.60 ,13596352.50 ,16826048.40 ,82941.00 ,785.70 ,38.40 ,25.80 ,280.50 ,17329.20 ,8.70 ,33.90 ,2433.90 ,17498.10 ,0.90 ,0.60 ,1747.80 ,2118.00 ,4017.60 ,1917.30 ,43.50 ,17.40 ,6.60 ,6.90 ,93.00 ,15.00 ,27.00 ,6.30 ,3.60 ,0.30 
S_37,Class_1,39.30 ,0.00 ,675.60 ,2721961.50 ,1284375.30 ,1151.70 ,70425.00 ,9505844.10 ,11527467.90 ,136319.40 ,636.60 ,9.30 ,34.50 ,209.70 ,8834.40 ,5.70 ,37.80 ,1207.20 ,16162.80 ,0.30 ,0.00 ,1502.10 ,1723.80 ,2655.30 ,2121.30 ,3.90 ,6.90 ,1.80 ,3.60 ,59.40 ,23.70 ,3.00 ,0.30 ,1.80 ,0.60 
