RI,Na,Al,Si,Ca,Type
1.52101,13.64,1.1,71.78,8.75,A
1.51761,13.89,1.36,72.73,7.83,A
1.51618,13.53,1.54,72.99,7.78,A
1.51766,13.21,1.29,72.61,8.22,A
1.51742,13.27,1.24,73.08,8.07,A
1.51596,12.79,1.62,72.97,8.07,A
1.51743,13.3,1.14,73.09,8.17,A
1.51756,13.15,1.05,73.24,8.24,A
1.51918,14.04,1.37,72.08,8.3,A
1.51755,13,1.36,72.99,8.4,A
1.51571,12.72,1.56,73.2,8.09,A
1.51763,12.8,1.27,73.01,8.56,A
1.51589,12.88,1.4,73.28,8.05,A
1.51748,12.86,1.27,73.21,8.38,A
1.51763,12.61,1.31,73.29,8.5,A
1.51761,12.81,1.23,73.24,8.39,A
1.51784,12.68,1.16,73.11,8.7,A
1.52196,14.36,0.89,71.36,9.15,A
1.51911,13.9,1.18,72.12,8.89,A
1.51735,13.02,1.69,72.73,8.44,A
1.5175,12.82,1.49,72.75,8.52,A
1.51966,14.77,0.29,72.02,9,A
1.51736,12.78,1.29,72.79,8.7,A
1.51751,12.81,1.35,73.02,8.59,A
1.5172,13.38,1.15,72.85,8.43,A
1.51764,12.98,1.21,73,8.53,A
1.51793,13.21,1.41,72.64,8.43,A
1.51721,12.87,1.33,73.04,8.43,A
1.51768,12.56,1.43,73.15,8.54,A
1.51784,13.08,1.28,72.86,8.49,A
1.51768,12.65,1.3,73.08,8.69,A
1.51747,12.84,1.14,73.27,8.55,A
1.51775,12.85,1.23,72.97,8.56,A
1.51753,12.57,1.38,73.39,8.55,A
1.51783,12.69,1.34,72.95,8.75,A
1.51567,13.29,1.21,72.74,8.57,A
1.51909,13.89,1.32,71.81,8.78,A
1.51797,12.74,1.35,72.96,8.68,A
1.52213,14.21,0.47,71.77,9.57,A
1.52213,14.21,0.47,71.77,9.57,A
1.51793,12.79,1.12,73.03,8.77,A
1.51755,12.71,1.2,73.2,8.64,A
1.51779,13.21,1.33,72.76,8.59,A
1.5221,13.73,0.72,71.76,9.74,A
1.51786,12.73,1.19,72.95,8.76,A
1.519,13.49,1.35,71.95,9,A
1.51869,13.19,1.18,72.72,8.83,A
1.52667,13.99,0.71,71.57,9.82,A
1.52223,13.21,0.79,71.99,10.02,A
1.51898,13.58,1.23,72.08,8.91,A
1.5232,13.72,0.51,71.75,10.06,A
1.51926,13.2,1.28,72.36,9.14,A
1.51808,13.43,1.19,72.84,9.03,A
1.51837,13.14,1.28,72.85,9.07,A
1.51778,13.21,1.29,72.98,9.02,A
1.51769,12.45,1.29,73.7,9.06,A
1.51215,12.99,1.12,72.98,8.35,A
1.51824,12.87,1.29,72.95,8.43,A
1.51754,13.48,1.17,72.99,8.03,A
1.51754,13.39,1.19,72.79,8.27,A
1.51905,13.6,1.11,72.64,8.76,A
1.51977,13.81,1.32,71.72,8.67,A
1.52172,13.51,0.88,71.79,9.54,A
1.52227,14.17,0.78,71.35,9.69,A
1.52172,13.48,0.9,72.01,9.61,A
1.52099,13.69,1.12,71.96,9.4,A
1.52152,13.05,0.87,72.22,9.85,A
1.52152,13.05,0.87,72.32,9.85,A
1.52152,13.12,0.9,72.2,9.82,A
1.523,13.31,0.82,71.99,10.17,A
1.51905,14,1.56,72.37,9.57,B
1.51937,13.79,1.19,72.76,9.77,B
1.51829,14.46,1.62,72.38,9.26,B
1.51852,14.09,1.66,72.67,9.32,B
1.51299,14.4,1.54,74.55,7.59,B
1.51888,14.99,1.74,72.5,9.95,B
1.51916,14.15,2.09,72.74,10.88,B
1.51969,14.56,0.56,73.48,11.22,B
1.51115,17.38,0.34,75.41,6.65,B
1.51131,13.69,1.81,72.81,5.43,C
1.51838,14.32,2.22,71.25,5.79,C
1.52315,13.44,1.23,72.38,8.83,C
1.52247,14.86,2.06,70.26,9.76,C
1.52365,15.79,1.31,70.43,8.61,C
1.51613,13.88,1.79,73.1,8.67,C
1.51602,14.85,2.38,73.28,8.76,C
1.51623,14.2,2.79,73.46,9.04,C
1.51719,14.75,2,73.02,8.53,C
1.51683,14.56,1.98,73.29,8.52,C
1.51545,14.14,2.68,73.39,9.07,C
1.51556,13.87,2.54,73.23,9.41,C
1.51727,14.7,2.34,73.28,8.95,C
1.51531,14.38,2.66,73.1,9.08,C
1.51609,15.01,2.51,73.05,8.83,C
1.51508,15.15,2.25,73.5,8.34,C
1.51653,11.95,1.19,75.18,8.93,C
1.51514,14.85,2.42,73.72,8.39,C
1.51658,14.8,1.99,73.11,8.28,C
1.51617,14.95,2.27,73.3,8.71,C
1.51732,14.95,1.8,72.99,8.61,C
1.51645,14.94,1.87,73.11,8.67,C
1.51831,14.39,1.82,72.86,6.47,C
1.5164,14.37,2.74,72.85,9.45,C
1.51623,14.14,2.88,72.61,9.18,C
1.51685,14.92,1.99,73.06,8.4,C
1.52065,14.36,2.02,73.42,8.44,C
1.51651,14.38,1.94,73.61,8.48,C
1.51711,14.23,2.08,73.36,8.62,C
